"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
        Logging equipment operators,45-4022,Line item,34.1,32.8,0.0,0.0,-1.3,-3.8,30.3,4.6,"48,240",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Log graders and scalers,45-4023,Line item,5.2,5.1,0.0,0.0,-0.1,-1.5,30.4,0.7,"45,600",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Logging workers, all other",45-4029,Line item,3.7,3.4,0.0,0.0,-0.3,-7.4,30.3,0.5,"52,480",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
  Construction and extraction occupations,47-0000,Summary,"7,338.3","7,752.3",4.4,4.4,414.0,5.6,13.9,663.5,"55,680",—,—,—,—
    Supervisors of construction and extraction workers,47-1000,Summary,853.2,903.4,0.5,0.5,50.3,5.9,7.6,72.0,"76,760",—,—,—,—
      First-line supervisors of construction trades and extraction workers,47-1011,Line item,853.2,903.4,0.5,0.5,50.3,5.9,7.6,72.0,"76,760",High school diploma or equivalent,5 years or more,None,—
    Construction trades workers,47-2000,Summary,"5,582.4","5,926.1",3.3,3.4,343.7,6.2,16.7,501.1,"52,000",—,—,—,—
      Boilermakers,47-2011,Line item,11.3,11.2,0.0,0.0,-0.1,-1.2,—,1.0,"71,140",High school diploma or equivalent,None,Apprenticeship,OOH Content
"      Brickmasons, blockmasons, and stonemasons",47-2020,Summary,85.0,86.9,0.1,0.0,1.9,2.3,19.4,6.5,"58,810",—,—,—,—
        Brickmasons and blockmasons,47-2021,Line item,72.6,75.0,0.0,0.0,2.4,3.3,19.4,5.6,"59,640",High school diploma or equivalent,None,Apprenticeship,OOH Content
        Stonemasons,47-2022,Line item,12.4,12.0,0.0,0.0,-0.4,-3.6,19.7,0.8,"51,830",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Carpenters,47-2031,Line item,923.1,961.6,0.5,0.6,38.6,4.2,23.6,76.5,"56,350",High school diploma or equivalent,None,Apprenticeship,OOH Content
"      Carpet, floor, and tile installers and finishers",47-2040,Summary,115.4,122.8,0.1,0.1,7.5,6.5,24.3,9.2,"48,690",—,—,—,—
        Carpet installers,47-2041,Line item,20.3,18.5,0.0,0.0,-1.8,-8.9,24.4,1.2,"47,520",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,32.8,36.1,0.0,0.0,3.3,10.1,24.4,2.8,"48,840",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
        Floor sanders and finishers,47-2043,Line item,6.6,6.8,0.0,0.0,0.2,2.5,24.4,0.5,"47,760",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
        Tile and stone setters,47-2044,Line item,55.6,61.4,0.0,0.0,5.8,10.4,24.3,4.7,"48,910",No formal educational credential,None,Long-term on-the-job training,OOH Content
"      Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,213.3,211.7,0.1,0.1,-1.6,-0.7,3.2,15.3,"50,710",—,—,—,—
        Cement masons and concrete finishers,47-2051,Line item,211.8,210.3,0.1,0.1,-1.5,-0.7,3.2,15.2,"50,720",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
        Terrazzo workers and finishers,47-2053,Line item,1.5,1.4,0.0,0.0,-0.1,-8.4,—,0.1,"48,900",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Construction laborers,47-2061,Line item,"1,401.2","1,516.6",0.8,0.9,115.4,8.2,26.6,133.1,"45,300",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Construction equipment operators,47-2070,Summary,515.7,537.2,0.3,0.3,21.5,4.2,2.2,45.7,"55,270",—,—,—,—
"        Paving, surfacing, and tamping equipment operators",47-2071,Line item,44.5,46.3,0.0,0.0,1.7,3.9,2.4,3.9,"48,980",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Pile driver operators,47-2072,Line item,3.1,3.3,0.0,0.0,0.1,4.6,2.7,0.3,"63,550",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Operating engineers and other construction equipment operators,47-2073,Line item,468.0,487.6,0.3,0.3,19.6,4.2,2.2,41.5,"56,160",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,136.6,140.3,0.1,0.1,3.7,2.7,21.6,9.8,"57,010",—,—,—,—
        Drywall and ceiling tile installers,47-2081,Line item,116.6,120.4,0.1,0.1,3.8,3.3,21.6,8.5,"55,700",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
        Tapers,47-2082,Line item,20.0,19.8,0.0,0.0,-0.1,-0.7,21.6,1.4,"63,350",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
      Electricians,47-2111,Line item,779.8,864.1,0.5,0.5,84.3,10.8,6.9,80.2,"61,590",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Glaziers,47-2121,Line item,56.5,58.6,0.0,0.0,2.1,3.8,4.8,5.6,"51,100",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Insulation workers,47-2130,Summary,62.6,64.8,0.0,0.0,2.2,3.6,0.8,5.5,"49,350",—,—,—,—
"        Insulation workers, floor, ceiling, and wall",47-2131,Line item,39.1,40.2,0.0,0.0,1.0,2.7,0.9,3.4,"47,540",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Insulation workers, mechanical",47-2132,Line item,23.4,24.6,0.0,0.0,1.2,5.1,0.8,2.1,"53,920",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Painters and paperhangers,47-2140,Summary,341.8,355.5,0.2,0.2,13.7,4.0,35.9,28.2,"47,710",—,—,—,—
"        Painters, construction and maintenance",47-2141,Line item,338.9,352.4,0.2,0.2,13.6,4.0,35.9,28.0,"47,700",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
        Paperhangers,47-2142,Line item,2.9,3.1,0.0,0.0,0.2,5.7,36.8,0.2,"48,460",No formal educational credential,None,Long-term on-the-job training,—
"      Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,510.7,536.1,0.3,0.3,25.4,5.0,5.7,46.0,"60,890",—,—,—,—
        Pipelayers,47-2151,Line item,37.3,36.4,0.0,0.0,-0.9,-2.3,0.6,2.7,"47,330",No formal educational credential,None,Short-term on-the-job training,—
"        Plumbers, pipefitters, and steamfitters",47-2152,Line item,473.4,499.7,0.3,0.3,26.3,5.6,6.1,43.3,"61,550",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Plasterers and stucco masons,47-2161,Line item,24.1,24.9,0.0,0.0,0.8,3.3,6.1,1.7,"52,640",No formal educational credential,None,Long-term on-the-job training,—
      Reinforcing iron and rebar workers,47-2171,Line item,21.9,22.9,0.0,0.0,0.9,4.2,19.9,1.7,"54,850",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Roofers,47-2181,Line item,168.1,177.9,0.1,0.1,9.8,5.8,17.4,13.6,"50,030",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
      Sheet metal workers,47-2211,Line item,124.2,127.1,0.1,0.1,2.9,2.3,4.1,11.5,"58,780",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Structural iron and steel workers,47-2221,Line item,66.1,68.9,0.0,0.0,2.7,4.1,2.2,5.8,"62,760",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Solar photovoltaic installers,47-2231,Line item,25.0,37.0,0.0,0.0,12.0,48.0,1.6,4.1,"48,800",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"    Helpers, construction trades",47-3000,Summary,198.6,202.6,0.1,0.1,4.0,2.0,2.1,21.8,"38,630",—,—,—,—
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,17.1,15.6,0.0,0.0,-1.6,-9.1,2.1,1.6,"42,470",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Helpers--carpenters,47-3012,Line item,22.3,21.6,0.0,0.0,-0.7,-3.0,2.1,2.3,"39,380",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Helpers--electricians,47-3013,Line item,71.5,72.2,0.0,0.0,0.7,1.0,2.0,7.7,"38,340",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,7.8,8.0,0.0,0.0,0.1,1.9,2.1,0.9,"37,010",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.1,49.8,0.0,0.0,2.8,5.9,2.1,5.5,"37,650",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Helpers--roofers,47-3016,Line item,4.8,5.0,0.0,0.0,0.3,5.6,2.1,0.5,"38,620",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Helpers, construction trades, all other",47-3019,Line item,28.0,30.4,0.0,0.0,2.3,8.3,2.0,3.4,"40,220",No formal educational credential,None,Short-term on-the-job training,OOH Content
    Other construction and related workers,47-4000,Summary,481.6,495.0,0.3,0.3,13.4,2.8,3.1,45.3,"52,900",—,—,—,—
      Construction and building inspectors,47-4011,Line item,142.6,142.7,0.1,0.1,0.0,0.0,4.2,15.0,"67,700",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,OOH Content
      Elevator and escalator installers and repairers,47-4021,Line item,24.4,25.8,0.0,0.0,1.4,5.7,—,2.2,"102,420",High school diploma or equivalent,None,Apprenticeship,OOH Content
      Fence erectors,47-4031,Line item,24.3,25.5,0.0,0.0,1.2,4.8,11.6,2.1,"44,410",No formal educational credential,None,Moderate-term on-the-job training,—
      Hazardous materials removal workers,47-4041,Line item,50.3,50.9,0.0,0.0,0.5,1.0,—,4.8,"47,280",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Highway maintenance workers,47-4051,Line item,160.4,166.5,0.1,0.1,6.1,3.8,1.8,13.9,"47,360",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Rail-track laying and maintenance equipment operators,47-4061,Line item,17.7,18.1,0.0,0.0,0.4,2.5,—,1.3,"67,000",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.1,32.6,0.0,0.0,2.4,8.1,5.1,3.0,"46,910",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Miscellaneous construction and related workers,47-4090,Line item,31.6,32.9,0.0,0.0,1.3,4.0,5.8,3.0,"47,090",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Extraction workers,47-5000,Summary,222.5,225.3,0.1,0.1,2.7,1.2,1.1,23.2,"51,780",—,—,—,—
"      Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,73.6,75.3,0.0,0.0,1.7,2.3,—,7.5,"58,100",—,—,—,—
"        Derrick operators, oil and gas",47-5011,Line item,12.1,12.5,0.0,0.0,0.4,3.1,—,1.2,"58,210",No formal educational credential,None,Short-term on-the-job training,—
"        Rotary drill operators, oil and gas",47-5012,Line item,12.8,13.1,0.0,0.0,0.3,2.2,—,1.3,"61,770",No formal educational credential,None,Moderate-term on-the-job training,—
"        Service unit operators, oil and gas",47-5013,Line item,48.7,49.7,0.0,0.0,1.0,2.1,—,4.9,"55,750",No formal educational credential,None,Moderate-term on-the-job training,—
      Surface mining machine operators and earth drillers,47-5020,Summary,53.3,53.8,0.0,0.0,0.5,0.9,3.9,5.6,"51,930",—,—,—,—
"        Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,34.4,34.1,0.0,0.0,-0.3,-0.8,3.9,3.5,"50,050",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—
"        Earth drillers, except oil and gas",47-5023,Line item,18.9,19.7,0.0,0.0,0.8,4.0,3.9,2.1,"56,660",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,—
"      Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,4.8,4.8,0.0,0.0,0.1,1.2,—,0.4,"61,590",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,—
      Underground mining machine operators,47-5040,Summary,26.0,23.8,0.0,0.0,-2.3,-8.7,0.4,2.6,"63,770",—,—,—,—
        Continuous mining machine operators,47-5041,Line item,16.1,15.8,0.0,0.0,-0.3,-1.8,0.4,1.8,"61,420",No formal educational credential,None,Moderate-term on-the-job training,—
"        Roof bolters, mining",47-5043,Line item,2.0,1.4,0.0,0.0,-0.6,-32.0,—,0.1,"66,660",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Loading and moving machine operators, underground mining",47-5044,Line item,5.3,4.1,0.0,0.0,-1.2,-22.9,—,0.4,"64,070",No formal educational credential,None,Short-term on-the-job training,—
"        Underground mining machine operators, all other",47-5049,Line item,2.6,2.5,0.0,0.0,-0.1,-4.5,—,0.3,"68,910",No formal educational credential,None,Moderate-term on-the-job training,—
"      Rock splitters, quarry",47-5051,Line item,3.7,3.8,0.0,0.0,0.1,2.8,1.5,0.4,"46,530",No formal educational credential,None,Short-term on-the-job training,—
"      Roustabouts, oil and gas",47-5071,Line item,46.0,48.6,0.0,0.0,2.5,5.5,—,4.9,"46,340",No formal educational credential,None,Moderate-term on-the-job training,—
      Helpers--extraction workers,47-5081,Line item,7.7,7.8,0.0,0.0,0.1,1.8,1.5,0.9,"45,520",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Extraction workers, all other",47-5099,Line item,7.4,7.4,0.0,0.0,0.0,-0.5,1.5,0.9,"49,580",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"  Installation, maintenance, and repair occupations",49-0000,Summary,"6,460.3","6,803.5",3.8,3.9,343.3,5.3,4.5,606.2,"53,920",—,—,—,—
"    Supervisors of installation, maintenance, and repair workers",49-1000,Summary,604.3,626.2,0.4,0.4,21.9,3.6,—,50.6,"75,820",—,—,—,—
"      First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,604.3,626.2,0.4,0.4,21.9,3.6,—,50.6,"75,820",High school diploma or equivalent,Less than 5 years,None,—
"    Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,515.3,519.6,0.3,0.3,4.3,0.8,3.1,48.1,"59,420",—,—,—,—
"      Computer, automated teller, and office machine repairers",49-2011,Line item,85.7,84.0,0.1,0.0,-1.7,-2.0,8.6,8.2,"45,760","Some college, no degree",None,Short-term on-the-job training,—
      Radio and telecommunications equipment installers and repairers,49-2020,Summary,174.3,169.6,0.1,0.1,-4.7,-2.7,1.3,15.8,"61,270",—,—,—,—
"        Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,12.0,12.9,0.0,0.0,0.8,6.8,1.2,1.3,"61,310",Associate's degree,None,Moderate-term on-the-job training,OOH Content
"        Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,162.3,156.8,0.1,0.1,-5.5,-3.4,1.3,14.5,"61,270",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content
"      Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,255.3,266.1,0.2,0.2,10.7,4.2,2.4,24.2,"61,190",—,—,—,—
        Avionics technicians,49-2091,Line item,21.9,23.5,0.0,0.0,1.7,7.6,—,1.9,"77,420",Postsecondary nondegree award,None,None,OOH Content
"        Electric motor, power tool, and related repairers",49-2092,Line item,17.7,18.6,0.0,0.0,0.9,5.0,8.1,1.8,"49,230",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
"        Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,7.6,8.2,0.0,0.0,0.5,6.9,—,0.7,"79,160",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
"        Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,59.8,60.5,0.0,0.0,0.7,1.2,0.4,5.0,"66,680",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
"        Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,25.4,25.7,0.0,0.0,0.2,0.8,0.4,2.1,"96,600",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,OOH Content
"        Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,9.1,7.9,0.0,0.0,-1.2,-13.2,—,0.6,"45,570",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Audiovisual equipment installers and repairers,49-2097,Line item,27.8,28.3,0.0,0.0,0.5,1.9,10.2,2.7,"48,380",Postsecondary nondegree award,None,Short-term on-the-job training,—
        Security and fire alarm systems installers,49-2098,Line item,86.0,93.4,0.1,0.1,7.4,8.6,1.7,9.5,"56,430",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"    Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,"1,908.9","1,982.7",1.1,1.1,73.8,3.9,8.4,172.6,"50,790",—,—,—,—
      Aircraft mechanics and service technicians,49-3011,Line item,141.4,148.7,0.1,0.1,7.3,5.2,0.6,11.5,"75,020",Postsecondary nondegree award,None,None,OOH Content
      Automotive technicians and repairers,49-3020,Summary,985.5,"1,009.3",0.6,0.6,23.8,2.4,12.7,83.5,"47,990",—,—,—,—
        Automotive body and related repairers,49-3021,Line item,169.2,171.4,0.1,0.1,2.1,1.3,7.8,13.9,"48,740",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Automotive glass installers and repairers,49-3022,Line item,21.7,22.1,0.0,0.0,0.4,2.0,19.9,1.8,"45,320",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
